name,url,salary,webpage
Администратор медицинского центра,https://www.superjob.ru/vacancy/search//vakansii/administrator-medicinskogo-centra-38438907.html,от 40 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Барбер (м. Бауманская),https://www.superjob.ru/vacancy/search//vakansii/barber-38438873.html,до 70 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Продавец-кассир (м. Кузьминки),https://www.superjob.ru/vacancy/search//vakansii/prodavec-kassir-37959687.html,29 000 — 31 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Водитель в интернет-магазин,https://www.superjob.ru/vacancy/search//vakansii/voditel-v-internet-magazin-37959690.html,до 39 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Менеджер по аренде коммерческой недвижимости,https://www.superjob.ru/vacancy/search//vakansii/menedzher-po-arende-kommercheskoj-nedvizhimosti-28973139.html,115 000 — 125 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Консультант по коллекции / Продавец (ТЦ Афимолл),https://www.superjob.ru/vacancy/search//vakansii/konsultant-po-kollekcii-31495206.html,По договорённости,https://www.superjob.ru/vacancy/search/?page=1.html
Продавец-консультант (м. Октябрьское Поле),https://www.superjob.ru/vacancy/search//vakansii/prodavec-konsultant-34059879.html,от 63 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Продавец-консультант (ТЦ Метрополис),https://www.superjob.ru/vacancy/search//vakansii/prodavec-konsultant-37415686.html,от 50 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Территориальный управляющий,https://www.superjob.ru/vacancy/search//vakansii/territorialnyj-upravlyayuschij-38605810.html,По договорённости,https://www.superjob.ru/vacancy/search/?page=1.html
Водитель такси на своем автомобиле,https://www.superjob.ru/vacancy/search//vakansii/voditel-taksi-na-svoem-avtomobile-38469995.html,до 124 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
Руководитель отдела кадрового делопроизводства,https://www.superjob.ru/vacancy/search//vakansii/rukovoditel-otdela-kadrovogo-deloproizvodstva-38449099.html,120 000 руб.,https://www.superjob.ru/vacancy/search/?page=1.html
